Group,Scenario,Accuracy%,ConsistencyRate%,TaskSuccessRate%,AvgLatencyMs,LLMCalls,Iterations
1_Baseline,ordering,100.00,100.00,100.00,4.38,0,30
1_Baseline,semantic,80.00,80.00,100.00,5.44,0,30
1_Baseline,simultaneous_write,40.00,40.00,100.00,6.53,0,30
2_StrongOnly,ordering,100.00,100.00,100.00,5.05,0,30
2_StrongOnly,semantic,80.00,80.00,100.00,6.56,0,30
2_StrongOnly,simultaneous_write,40.00,40.00,100.00,6.09,0,30
3_TimestampPriority,ordering,100.00,100.00,100.00,3.44,0,30
3_TimestampPriority,semantic,80.00,80.00,100.00,5.08,0,30
3_TimestampPriority,simultaneous_write,100.00,100.00,100.00,6.75,0,30
4_TrustScorePriority,ordering,100.00,100.00,100.00,3.72,0,30
4_TrustScorePriority,semantic,20.00,20.00,100.00,4.98,0,30
4_TrustScorePriority,simultaneous_write,60.00,60.00,100.00,5.13,0,30
5_LeaderMediation,ordering,100.00,100.00,100.00,4.18,0,30
5_LeaderMediation,semantic,20.00,20.00,100.00,4.68,0,30
5_LeaderMediation,simultaneous_write,60.00,60.00,100.00,6.17,0,30
6_Ablation1_NoJudge,ordering,100.00,100.00,100.00,4.29,0,30
6_Ablation1_NoJudge,semantic,80.00,80.00,100.00,6.29,0,30
6_Ablation1_NoJudge,simultaneous_write,100.00,100.00,100.00,6.87,0,30
7_Ablation2_NoPreFilter,ordering,100.00,100.00,100.00,1652.83,30,30
7_Ablation2_NoPreFilter,semantic,76.67,76.67,100.00,1673.52,30,30
7_Ablation2_NoPreFilter,simultaneous_write,0.00,0.00,100.00,1649.60,30,30
8_FullProposed,ordering,100.00,100.00,100.00,4.13,0,30
8_FullProposed,semantic,80.00,80.00,100.00,1618.34,30,30
8_FullProposed,simultaneous_write,100.00,100.00,100.00,5.62,0,30
