Group,Scenario,Accuracy%,ConsistencyRate%,TaskSuccessRate%,AvgLatencyMs,LLMCalls,Iterations
1_Baseline,ordering,100.00,100.00,100.00,4.42,0,30
1_Baseline,semantic,80.00,80.00,100.00,6.23,0,30
1_Baseline,simultaneous_write,40.00,40.00,100.00,7.11,0,30
2_StrongOnly,ordering,100.00,100.00,100.00,3.37,0,30
2_StrongOnly,semantic,80.00,80.00,100.00,5.41,0,30
2_StrongOnly,simultaneous_write,40.00,40.00,100.00,6.05,0,30
3_TimestampPriority,ordering,100.00,100.00,100.00,4.07,0,30
3_TimestampPriority,semantic,60.00,60.00,100.00,5.14,0,30
3_TimestampPriority,simultaneous_write,60.00,60.00,100.00,6.93,0,30
4_TrustScorePriority,ordering,100.00,100.00,100.00,4.56,0,30
4_TrustScorePriority,semantic,20.00,20.00,100.00,5.74,0,30
4_TrustScorePriority,simultaneous_write,60.00,60.00,100.00,5.17,0,30
5_LeaderMediation,ordering,100.00,100.00,100.00,4.10,0,30
5_LeaderMediation,semantic,20.00,20.00,100.00,5.50,0,30
5_LeaderMediation,simultaneous_write,60.00,60.00,100.00,5.93,0,30
6_Ablation1_NoJudge,ordering,100.00,100.00,100.00,4.22,0,30
6_Ablation1_NoJudge,semantic,50.00,50.00,100.00,5.07,0,30
6_Ablation1_NoJudge,simultaneous_write,60.00,60.00,100.00,5.62,0,30
7_Ablation2_NoPreFilter,ordering,100.00,100.00,100.00,1625.06,30,30
7_Ablation2_NoPreFilter,semantic,80.00,80.00,100.00,1575.89,30,30
7_Ablation2_NoPreFilter,simultaneous_write,0.00,0.00,100.00,1677.12,30,30
8_FullProposed,ordering,100.00,100.00,100.00,3.81,0,30
8_FullProposed,semantic,80.00,80.00,100.00,1757.24,30,30
8_FullProposed,simultaneous_write,60.00,60.00,100.00,5.91,0,30
